linea,tren_id,portador,estacion,dist_km,hora_min
L1,C-FEPASA-50631,FEPASA,CONCEPCIÓN,68.521,646.0
L2,C-FEPASA-50631,FEPASA,CONCEPCIÓN,1.0,646.0
L2,C-FEPASA-50631,FEPASA,Biobío,3.351,656.0
L2,C-FEPASA-50631,FEPASA,Boca Sur,7.439,661.0
L2,C-FEPASA-50631,FEPASA,Lomas Coloradas,11.026,666.0
L2,C-FEPASA-50631,FEPASA,Escuadrón,19.398,676.0
L2,C-FEPASA-50631,FEPASA,Lagunillas,23.804,682.0
L2,C-FEPASA-50631,FEPASA,CORONEL,27.355,689.0
L2,C-FEPASA-50631,FEPASA,Lota,36.604,718.0
L1,C-FEPASA-50633,FEPASA,EL ARENAL,82.79,833.0
L1,C-FEPASA-50633,FEPASA,CONCEPCIÓN,68.521,853.0
L2,C-FEPASA-50633,FEPASA,CONCEPCIÓN,1.0,853.0
L2,C-FEPASA-50633,FEPASA,Biobío,3.351,863.0
L2,C-FEPASA-50633,FEPASA,Boca Sur,7.439,868.0
L2,C-FEPASA-50633,FEPASA,Lomas Coloradas,11.026,873.0
L2,C-FEPASA-50633,FEPASA,Escuadrón,19.398,883.0
L2,C-FEPASA-50633,FEPASA,Lagunillas,23.804,889.0
L2,C-FEPASA-50633,FEPASA,CORONEL,27.355,896.0
L2,C-FEPASA-50633,FEPASA,Lota,36.604,970.0
L2,C-FEPASA-50634,FEPASA,Lota,36.604,210.0
L2,C-FEPASA-50634,FEPASA,CORONEL,27.355,244.0
L2,C-FEPASA-50634,FEPASA,Lagunillas,23.804,250.0
L2,C-FEPASA-50634,FEPASA,Escuadrón,19.398,257.0
L2,C-FEPASA-50634,FEPASA,Lomas Coloradas,11.026,267.0
L2,C-FEPASA-50634,FEPASA,Boca Sur,7.439,272.0
L2,C-FEPASA-50634,FEPASA,Biobío,3.351,277.0
L2,C-FEPASA-50634,FEPASA,CONCEPCIÓN,1.0,287.0
L1,C-FEPASA-50635,FEPASA,EL ARENAL,82.79,1302.0
L1,C-FEPASA-50635,FEPASA,CONCEPCIÓN,68.521,1322.0
L2,C-FEPASA-50635,FEPASA,CONCEPCIÓN,1.0,1322.0
L2,C-FEPASA-50635,FEPASA,Biobío,3.351,1332.0
L2,C-FEPASA-50635,FEPASA,Boca Sur,7.439,1337.0
L2,C-FEPASA-50635,FEPASA,Lomas Coloradas,11.026,1342.0
L2,C-FEPASA-50635,FEPASA,Escuadrón,19.398,1352.0
L2,C-FEPASA-50635,FEPASA,Lagunillas,23.804,1358.0
L2,C-FEPASA-50635,FEPASA,CORONEL,27.355,1365.0
L2,C-FEPASA-50635,FEPASA,Lota,36.604,1399.0
L1,C-FEPASA-50740,FEPASA,EL ARENAL,82.79,30.0
L1,C-FEPASA-50740,FEPASA,CONCEPCIÓN,68.521,50.0
L1,C-TRANSAP-60510,TRANSAP,CONCEPCIÓN,68.521,673.0
L1,C-TRANSAP-60510,TRANSAP,Chiguayante,60.31,704.0
L1,C-TRANSAP-60510,TRANSAP,La Leonera,55.32,709.0
L1,C-TRANSAP-60510,TRANSAP,Hualqui,46.917,720.0
L1,C-TRANSAP-60510,TRANSAP,Quilacoya,36.53,752.0
L1,C-TRANSAP-60510,TRANSAP,Unihue,29.397,764.0
L1,C-TRANSAP-60510,TRANSAP,Talcamávida,22.798,774.0
L1,C-TRANSAP-60510,TRANSAP,Gomero,15.324,797.0
L1,C-TRANSAP-60510,TRANSAP,Buenuraqui,8.467,808.0
